N,Total Runs,Successful Runs,P_success,Avg Runtime,TTS_99%,TTS_50%,TTS_80%
64,4000,4000,1.0,0.041078202724456746,0.041078202724456746,0.041078202724456746,0.041078202724456746
144,4000,3994,0.9985,0.0976049265861511,0.06912753600777576,0.01040473093234122,0.024159037071546662
256,4000,3989,0.99725,0.366085899412632,0.28593007653167274,0.04303676484926563,0.09992827341657075
400,4000,3846,0.9615,0.4176759769320488,0.5905470221225063,0.08888618375445755,0.20638732730679565
576,4000,3907,0.97675,0.641452022254467,0.7853342762030954,0.1182045868800968,0.2744625512214509
676,4000,3720,0.93,1.026585231244564,1.7777876682402314,0.26758370703091805,0.6213101270891978
900,1000,913,0.913,1.8680651268959045,3.5230533538843973,0.5302723679218974,1.2312543090203016
1024,1000,954,0.954,3.1698668706417084,4.740901753984916,0.71357681722272,1.656874059769738

